,AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
316,K5,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - State Medical Parole,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
317,K6,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Compassionate Release,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
318,K7,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Compassionate Release,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
319,K8,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - County Compassionate Release,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
320,K9,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - County Compassionate Release,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
321,L1,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL)- Low Income Health Program (LIHP),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
322,L6,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled (Not Newly Eligible),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
323,L7,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled (Not Newly Eligible),Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
324,M0,Pregnant - Modified Adjusted Gross Income (MAGI) 138% to 213% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
325,M1,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
326,M2,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) ,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
327,M3,Parent and Caretaker Relative - Modified Adjusted Gross Income (MAGI) 0% to 109% Federal Poverty Level (FPL),Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
328,M4,Parent and Caretaker Relative - Modified Adjusted Gross Income (MAGI) 0% to 109% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
329,M5,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 108% to 133% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
330,M6,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 108% to 133% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
331,M7,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Full Scope (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
332,M8,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
333,M9,Pregnant - Modified Adjusted Gross Income (MAGI) 138% to 213% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
334,N0,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - Low Income Health Program (LIHP) - County Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
335,N5,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
336,N6,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
337,N7,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
338,N8,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
339,N9,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - Low Income Health Program (LIHP) - State Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
340,P0,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 0% to 208% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
341,P1,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 0% to 208% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
342,P2,Parent and Caretaker Relatives - Modified Adjusted Gross Income (MAGI) 0% to 109% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
343,P3,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
344,P4,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 213% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
345,P5,Children Ages - 6 to 19 - Modified Adjusted Gross Income (MAGI) 0% to 133% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
346,P6,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 0% to 133% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
347,P7,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 0% to 142% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
348,P8,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 0% to 142% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
349,P9,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 0% to 208% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
350,R1,CalWORKS - Trafficking and Crime Victims Assistance Program (TCVAP),Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
359,T0,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 208% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
360,T1,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
361,T2,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 133% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
362,T3,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
363,T4,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 142% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
364,T5,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 208% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) Program,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
365,T6,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
366,T7,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 133% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
367,T8,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
368,T9,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 142% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
369,V2,Presumptive Eligibility (PE) for coronavirus (COVID-19) Diagnostic Testing Only - Limited Scope,Restricted or Limited Scope (No SOC),Uninsured Individual eligible for COVID-19 testing,"Uninsured individuals who are eligible for medical assistance for COVID-19 diagnostic products and any visit described as a COVID–19 testing-related service for which payment may be made under the State plan during any portion of the public health emergency period, beginning March 18, 2020.",76,Family/Adult,Optional  ,Medicaid,1902(a)(10) (A)(ii)(XXIII),0
