AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
G5,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
G5,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
G6,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
G6,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
G6,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (No SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
G7,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
G7,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
G7,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
G8,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Pregnant Women,"Women who are pregnant, who would qualify as categorically needy, except for income.",53,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(i) and (iv)
G8,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children under Age 18,"Children under 18 who would qualify as categorically needy, except for income.",54,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.301(b)(1)(ii)
G8,Medi-Cal Juvenile County Inmates Hospital Inpatient Services,Restricted or Limited (SOC),Medically Needy Children Age 18 through 20,"Children over 18 and under an age established by the State (less than age 21), who would qualify as categorically needy, except for income.",55,Family/Adult,Medically Needy  ,Medicaid,1902(a)(10)(C)(ii)(II),42 CFR 435.308
G9,Medi-Cal Adult State Medical Parole Program,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
H0,Children - Ages 6 to 19 - 133% to 266% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H1,Infants - Ages 0 to 1 - 200% to 250% Federal Poverty Level (FPL)  Optional Targeted Low-Income Children’s Program (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H2,Children - Ages 1 to 6 - 133%  to 150% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s Program (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H3,Children - Ages 1 to 6 - 150% to 250% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s Program  (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H4,Children - Ages 6 to 19 - 150% to 250% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s Program (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H5,Children - Ages 6 to 19 - 100% to 150% Federal Poverty Level (FPL) Optional Targeted Low-Income Children’s (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H6,Infants - Ages 0 to 1 - 209% to 266% Federal Poverty Level (FPL)  Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
H7,Children - Ages 1 to 6 - 0% to 142% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
H8,Children - Ages 6 to 19 - 0% to 133% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
H9,Children - Ages 1 to 6 - 143% to 266 Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE) ,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
J1,County Compassionate Release,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
J2,County Compassionate Release,Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
J3,County Compassionate Release,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
J4,County Compassionate Release,Restricted or Limited (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),"42 CFR 435.320, 322 & 324"
J5,County Compassionate Release - Long Term Care (LTC) - Aged,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
J6,County Compassionate Release - Long Term Care (LTC) - Aged,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
J7,County Compassionate Release - Long Term Care (LTC) - Disabled,Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),43 CFR 435.322 & 324
J8,County Compassionate Release - Long Term Care (LTC) - Disabled,Restricted or Limited (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),43 CFR 435.322 & 324
K1,CalWORKS - Single-Parent Safety Net and Drug/Fleeing Felon Family,Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
K2,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Medical Parole,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
K3,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Medical Parole,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
K4,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - State Medical Parole,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
K5,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - State Medical Parole,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
K6,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Compassionate Release,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
K7,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Compassionate Release,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
K8,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - County Compassionate Release,Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
K9,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled - County Compassionate Release,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
L1,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL)- Low Income Health Program (LIHP),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
L6,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled (Not Newly Eligible),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
L7,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 128% Federal Poverty Level (FPL) - Blind/Disabled (Not Newly Eligible),Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - not newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",73,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII); 1905z(3),42 CFR 435.119
M0,Pregnant - Modified Adjusted Gross Income (MAGI) 138% to 213% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
M1,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
M2,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) ,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
M3,Parent and Caretaker Relative - Modified Adjusted Gross Income (MAGI) 0% to 109% Federal Poverty Level (FPL),Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
M4,Parent and Caretaker Relative - Modified Adjusted Gross Income (MAGI) 0% to 109% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
M5,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 108% to 133% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
M6,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 108% to 133% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,MCHIP,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
M7,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Full Scope (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
M8,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
M9,Pregnant - Modified Adjusted Gross Income (MAGI) 138% to 213% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
N0,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - Low Income Health Program (LIHP) - County Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
N5,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
N6,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - State Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
N7,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
N8,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - County Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
N9,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) - Low Income Health Program (LIHP) - State Inmate,Restricted or Limited (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
P0,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 0% to 208% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
P1,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 0% to 208% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
P2,Parent and Caretaker Relatives - Modified Adjusted Gross Income (MAGI) 0% to 109% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
P3,Adults - Ages 19 to 64 - Modified Adjusted Gross Income (MAGI) 0% to 138% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Full Scope (No SOC),Adult Group - Individuals at or below 133% FPL Age 19 through 64 - newly eligible,"Non-pregnant individuals aged 19 through 64, not otherwise mandatorily eligible, with income at or below 133% FPL.",72,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(VIII),42 CFR 435.119
P4,Pregnant - Modified Adjusted Gross Income (MAGI) 0% to 213% Federal Poverty Level (FPL) Hospital Presumptive Eligibility (HPE),Restricted or Limited (No SOC),Pregnant Women,"Women who are pregnant or post-partum, with household income at or below a standard established by the state.",5,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III) and (IV); 1902(a)(10)(A)(ii)(I), (IV), and (IX); 1931(b) and (d)",42 CFR 435.116
P5,Children Ages - 6 to 19 - Modified Adjusted Gross Income (MAGI) 0% to 133% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
P6,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 0% to 133% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
P7,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 0% to 142% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
P8,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 0% to 142% Federal Poverty Level (FPL),Restricted or Limited (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
P9,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 0% to 208% Federal Poverty Level (FPL),Full Scope (No SOC),Infants and Children under Age 19,Infants and children under age 19 with household income at or below standards established by the state based on age group.,7,Family/Adult,Mandatory  ,Medicaid,"1902(a)(10)(A)(i)(III), (IV), (VI), and (VII); 1902(a)(10)(A)(ii)(IV) and (IX); 1931(b) and (d)",42 CFR 435.118
R1,CalWORKS - Trafficking and Crime Victims Assistance Program (TCVAP),Full Scope (No SOC),Parents and Other Caretaker Relatives,Parents and other caretaker relatives of dependent children with household income at or below a standard established by the state.,1,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I); 1931(b) and (d),42 CFR 435.110
R2,CalFresh - Trafficking and Crime Victims Assistance Program (TCVAP),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
R3,CalFresh - State Only California Food Assistance Program (CFAP) ,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
R4,Work Incentive Nutritional Supplement Program (WINS) - Non 2-Parent/Caretaker Relative Households Receiving Non-Assistant CalFresh ,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
R5,Work Incentive Nutritional Supplement Program (WINS) - 2 Parent (2P)/Caretaker Relative Households Receiving Non-Assistant CalFresh ,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
